zeit,extinktion,zugabe
0,"0,020",Z2
15,"0,063",Z2
30,"0,064",Z2
45,"0,065",Z2
60,"0,065",Z2
75,"0,065",Z2
90,"0,066",Z2
105,"0,066",Z2
120,"0,065",Z2
135,"0,065",Z2
150,"0,065",Z2
165,"0,065",Z2
180,"0,064",Z2
195,"0,064",Z2
210,"0,064",Z2
225,"0,064",Z2
240,"0,063",Z2
255,"0,063",Z2
270,"0,063",Z2
285,"0,063",Z2
300,"0,063",Z2
315,"0,064",Z2
330,"0,064",Z2
345,"0,064",Z2
360,"0,064",Z2
375,"0,064",Z2
390,"0,064",Z2
405,"0,065",Z2
420,"0,065",Z2
435,"0,065",Z2
450,"0,065",Z2
465,"0,065",Z2
480,"0,065",Z2
495,"0,065",Z2
510,"0,065",Z2
525,"0,065",Z2
540,"0,065",Z2
555,"0,064",Z2
570,"0,064",Z2
585,"0,065",Z2
600,"0,065",Z3
615,"0,138",Z3
630,"0,140",Z3
645,"0,141",Z3
660,"0,141",Z3
675,"0,142",Z3
690,"0,142",Z3
705,"0,142",Z3
720,"0,142",Z3
735,"0,143",Z3
750,"0,143",Z3
765,"0,144",Z3
780,"0,144",Z3
795,"0,145",Z3
810,"0,145",Z3
825,"0,146",Z3
840,"0,146",Z3
855,"0,147",Z3
870,"0,147",Z3
885,"0,148",Z3
900,"0,148",Z3
915,"0,149",Z3
930,"0,149",Z3
945,"0,150",Z3
960,"0,151",Z3
975,"0,151",Z3
990,"0,152",Z3
1005,"0,152",Z3
1020,"0,153",Z3
1035,"0,153",Z3
1050,"0,154",Z3
1065,"0,154",Z3
1080,"0,155",Z3
1095,"0,155",Z3
1110,"0,156",Z3
1125,"0,157",Z3
1140,"0,157",Z3
1155,"0,157",Z3
1170,"0,158",Z3
1185,"0,158",Z4
1200,"0,255",Z4
1215,"0,263",Z4
1230,"0,263",Z4
1245,"0,264",Z4
1260,"0,264",Z4
1275,"0,265",Z4
1290,"0,265",Z4
1305,"0,266",Z4
1320,"0,266",Z4
1335,"0,267",Z4
1350,"0,268",Z4
1365,"0,269",Z4
1380,"0,269",Z4
1395,"0,269",Z4
1410,"0,270",Z4
1425,"0,271",Z4
1440,"0,271",Z4
1455,"0,272",Z4
1470,"0,273",Z4
1485,"0,273",Z4
1500,"0,274",Z4
1515,"0,275",Z4
1530,"0,275",Z4
1545,"0,276",Z4
1560,"0,277",Z4
1575,"0,278",Z4
1590,"0,279",Z4
1605,"0,280",Z4
1620,"0,280",Z4
1635,"0,281",Z4
1650,"0,282",Z4
1665,"0,283",Z4
1680,"0,283",Z4
1695,"0,284",Z4
1710,"0,284",Z4
1725,"0,285",Z4
1740,"0,285",Z4
1755,"0,286",Z4
1770,"0,287",Z4
1785,"0,288",Z5
1800,"0,199",Z5
1815,"0,192",Z5
1830,"0,190",Z5
1845,"0,189",Z5
1860,"0,188",Z5
1875,"0,187",Z5
1890,"0,187",Z5
1905,"0,187",Z5
1920,"0,187",Z5
1935,"0,187",Z5
1950,"0,188",Z5
1965,"0,188",Z5
1980,"0,189",Z5
1995,"0,190",Z5
2010,"0,191",Z5
2025,"0,192",Z5
2040,"0,192",Z5
2055,"0,193",Z5
2070,"0,194",Z5
2085,"0,195",Z5
2100,"0,196",Z5
2115,"0,197",Z5
2130,"0,198",Z5
2145,"0,199",Z5
2160,"0,200",Z5
2175,"0,201",Z5
2190,"0,202",Z5
2205,"0,203",Z5
2220,"0,203",Z5
2235,"0,204",Z5
2250,"0,205",Z5
2265,"0,206",Z5
2280,"0,207",Z5
2295,"0,208",Z5
2310,"0,209",Z5
2325,"0,210",Z5
2340,"0,211",Z5
2355,"0,212",Z5
2370,"0,214",Z5
2385,"0,215",Z5
2400,"0,216",Z5
2415,"0,217",Z6
2430,"0,920",Z7
2450,"1,081",Z7
2460,"1,086",Z7
2475,"1,088",Z7
2820,"1,372",Z8
2835,"1,389",Z8
2850,"1,396",Z8
2865,"1,406",Z8
2880,"1,412",Z8
2895,"1,413",Z8
2910,"1,417",Z8
2925,"1,421",Z8
